ID_FALLA;FALLA_ID;FALLA;DESCRIPCION_FALLA;LOCALIZACION_FALLA;TIPIFICACION_FALLA;FALLA_REAL;IMPUTABILIDAD;INTERFAZ;MAL_ESCALADO_TERRENO;GRUPO_FALLA;FECHA_INICIO;FECHA_FIN;VERTICAL;NIVEL_2_VERTICAL;NIVEL_3_VERTICAL
80;B0995;995;CAMBIO DE TA (CLIENTE);Sin Descripcion;Sin Descripcion;Con Falla;CLIENTE;B;NULL;NULL;2017-06-18 14:42:38.770;NULL;Equipo;Inconveniente Equipo;Inconveniente con modem
81;B1000;1000;NO HAY EQUIPOS (SU/ANTENA;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
82;B1002;1002;RESET DE SU;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
83;B1003;1003;ORIENTACION DE ANTENA EXTERNA;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
84;B1005;1005;CAMBIO DE PLUG RJ11- xDSL;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2017-06-18 14:42:38.423;NULL;Premisas;Red Interna;Conectores
85;B1006;1006;CAMBIO DE BSC/PILOTO;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
86;B1007;1007;CAMBIO DE ADAPTADOR;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
87;B1008;1008;INSTALACION ANTENA EXTERNA;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
88;B1009;1009;PROGRAMACION OMCR;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
89;B1010;1010;REPARACION CELDA;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
90;B1011;1011;REUBICACION DE SU;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
91;B1012;1012;CAMBIO DE SU;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
92;B1014;1014;RESTABLECIMIENTO PORTADORA O SEÑAL;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
93;B1017;1017;RESTABLECIMIENTO SECTOR-CELDA;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
94;B1019;1019;RESTABLECIMIENTO BTS;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
95;B1020;1020;RESTABLECIMIENTO ENLACE;;;Con Falla;UNE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
96;B1024;1024;CAMBIO DE CONECTOR COAXIAL;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
97;B1025;1025;REPARACION ACOM INTER CAMBIO TOMA ELECTRICA;Sin Descripcion;Sin Descripcion;Con Falla;CLIENTE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
98;B1026;1026;CAMBIO DE PILA;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
99;B1029;1029;PENDIENTE PERMISO DE ADMON;Sin Descripcion;Sin Descripcion;Sin Falla;CLIENTE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
100;B1031;1031;CAMBIO BOCINA SU - CDMA PLUS;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
101;B1032;1032;CAMBIO DE ANTENA A OMNI;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
